target_module,import_count
sentinel.shared.models,310
sentinel.mission.models,180
sentinel.shared.enums,164
sentinel.agent.model_execution.redaction,148
sentinel.agent,86
sentinel.shared.events,85
sentinel.operator.models,82
sentinel.mission,69
sentinel.operator.kernel,64
sentinel.operator.redaction,46
sentinel.agent.organs.browser_session_manager_l5_live,42
sentinel.agent.model_contract,42
sentinel.agent.models,40
sentinel.agent.events,40
sentinel.shared.safety_scanner,40
sentinel.agent.organs.safety_scanner,38
sentinel.agent.event_bus,38
sentinel.agent.phases,36
sentinel.organs.browser.models,36
sentinel.operator.safety,35
sentinel.power.runtime,35
sentinel.agent.llm,34
sentinel.agent.organs.delegated_action_gate,32
sentinel.agent.model_cost,31
sentinel.agent.browser.neural,31
sentinel.agent.organs.proposal_bridge,31
sentinel.agent.runtime,30
sentinel.agent.browser,30
sentinel.agent.llm.proposals,27
sentinel.agent.final_gate,27
sentinel.telemetry,25
sentinel.agent.model_execution.models,25
sentinel.agent.organs.runtime_execution,23
sentinel.operator.store,22
sentinel.organs,22
sentinel.agent.evidence_ranker,19
sentinel.agent.organs.reversible_workspace_executor,19
sentinel.agent.browser.neural.models,17
sentinel.agent.llm.memory_bridge,16
sentinel.organs.authority,16
sentinel.operator.action_kernel,16
sentinel.organs.contracts,16
sentinel.perf.measure.latency_profiler,15
sentinel.capabilities,15
sentinel.operator.account_authority,15
sentinel.organs.lanes,15
sentinel.agent.organs.browser_download_upload_quarantine_l6,15
sentinel.agent.organs.browser_login_credential_session_broker_l6,14
sentinel.capabilities.risk,14
sentinel.agent.organs.organ_dispatch,14
sentinel.telemetry.models,14
sentinel.agent.browser.neural.ledger,14
sentinel.agent.organs.browser_form_submit_special_authority_l6,13
sentinel.agent.artifact_capture,13
sentinel.mission.trace_timeline,13
sentinel.agent.model_execution,13
sentinel.agent.organs.sandbox_shell_code_organ_v1,13
sentinel.perf.measure.performance_trace,13
sentinel.agent.organs.local_artifact_executor,13
sentinel.agent.tool_call_protocol,12
sentinel.agent.state,12
sentinel.perf.measure.performance_receipt,12
sentinel.operator.account_authority_models,12
sentinel.agent.organs.channel_draft_send_organ_v1,12
sentinel.agent.organs.external_api_read_write_organ_v1,12
sentinel.operator.cockpit,11
sentinel.operator.replay,11
sentinel.agent.hypothesis,11
sentinel.agent.brain.cognition_loop,11
sentinel.organs.dry_run,11
sentinel.organs.kill_switch,11
sentinel.agent.model_execution.policy,11
sentinel.agent.model_execution.catalog,11
sentinel.organs.browser.accessibility_snapshot,11
sentinel.agent.organs.browser_devtools_machine_intelligence_v1,11
sentinel.agent.organs.browser_readonly_organ_v1,11
sentinel.agent.organs.browser_js_sandbox_special_authority_l6,11
sentinel.agent.organs,11
sentinel.operator.authority_issuer,10
sentinel.operator.mission_lifecycle_service,10
sentinel.agent.decision_frame,10
sentinel.perf.sched.tool_call_queue,10
sentinel.operator.llm_frame,10
sentinel.agent.organs.browser_devtools_backend_adapter_v1,10
sentinel.operator.financial_authority,10
sentinel.power_lab,9
sentinel.agent.evidence,9
sentinel.memory.models,9
sentinel.mission.cancellation,9
sentinel.operator.channel_adapter,9
sentinel.operator.daemon_models,9
sentinel.operator.workflow_models,9
sentinel.agent.model_execution.credentials,9
sentinel.operator.real_model_certification,9
sentinel.agent.model_execution.openai_compatible,9
sentinel.agent.model_execution.provider_profiles,9
sentinel.operator.read_only_operator_spine,9
sentinel.perf.bench.golden_missions,9
sentinel.organs.browser.url_guard,9
sentinel.organs.credentials.foundation,9
