bypass_id,file,evidence_anchor,current_path,classification,priority,target_product_path,next_pack,real_damage_if_misclassified,notes
BYPASS-CHANNEL-001,sentinel-control/services/sentinel-core/sentinel/operator/channel_adapter.py,lines 13 and 445-446 import/use ChannelDraftSendOrganV1.execute,ChannelConnectorRuntime -> ChannelDraftSendOrganV1.execute,BYPASS_WRAP_THROUGH_DISPATCHER,P0,RuntimeHost -> ProductActionKernelDispatchAdapter -> bounded_channel backend,POWER_UNIFICATION_PACK_1_DIRECT_BYPASS_ELIMINATION_V1,external send outside grant if migrated carelessly,Keep organ as backend; product/operator send should enter through ProductActionKernel
BYPASS-MUTATION-001,sentinel-control/services/sentinel-core/sentinel/operator/mutation_artifact_channel.py,lines 12-15 and 452 use L3ReversibleWorkspaceExecutor.execute,GovernedMutationArtifactChannel -> L3ReversibleWorkspaceExecutor.execute,BYPASS_PRODUCT_WIRE,P0,RuntimeHost -> ProductActionKernelDispatchAdapter -> workspace_patch backend,POWER_UNIFICATION_PACK_1_DIRECT_BYPASS_ELIMINATION_V1,destructive write or workspace escape if authority mapping is wrong,Keep artifact assembly; route application through workspace product skill
BYPASS-CERT-001,sentinel-control/services/sentinel-core/sentinel/operator/real_model_certification.py,lines 3886/3952/4013/4309 direct organ execute calls,certification harness -> ShellCodeSandbox/L3Workspace/Browser L6 organs,BYPASS_KEEP_INTERNAL,P1,Certification harness remains internal and cannot be cited as product route proof,POWER_UNIFICATION_PACK_1_DIRECT_BYPASS_ELIMINATION_V1,false product proof if certification path is treated as product runtime,Do not delete yet; label as harness-only until split/wrapped
BYPASS-CERT-002,sentinel-control/services/sentinel-core/sentinel/operator/real_model_certification.py,lines 41-65 import many agent organs into operator harness,operator certification imports agent organs directly,BYPASS_DEPRECATE,P2,thin certification facade over ProductActionKernel or explicit harness namespace,POWER_UNIFICATION_PACK_1_DIRECT_BYPASS_ELIMINATION_V1,harness drift can bypass product proof expectations,Split monolith later; not a product runtime entrypoint
BYPASS-ORGRT-001,sentinel-control/services/sentinel-core/sentinel/agent/organs/runtime_execution.py,lines 667/712 direct L2/L3 executor calls,OrganRuntimeExecution -> local artifact/workspace executors,BYPASS_WRAP_THROUGH_DISPATCHER,P1,organ runtime spec -> ProductActionKernel adapter where product-reachable,POWER_UNIFICATION_PACK_1_DIRECT_BYPASS_ELIMINATION_V1,workspace mutation outside product receipts if promoted directly,Keep as backend/runtime internals; product calls should not enter here directly
BYPASS-ORGRT-002,sentinel-control/services/sentinel-core/sentinel/agent/organs/runtime_execution.py,lines 758/810/862 instantiate browser read/prep/extraction organs,OrganRuntimeExecution branch matrix -> browser organs,BYPASS_PRODUCT_WIRE,P1,real_browser skill spine -> selected browser backend/organs,POWER_UNIFICATION_PACK_4_BROWSER_L5_L6_PRODUCT_BACKEND_V1,real browser action without product replay if wired incorrectly,Use organ spec registry and ProductActionKernel route before product exposure
BYPASS-ORGRT-003,sentinel-control/services/sentinel-core/sentinel/agent/organs/runtime_execution.py,lines 1039/1095/1150/1201 direct L6 special browser organ execute calls,OrganRuntimeExecution -> form/download/upload/js special authorities,BYPASS_LOCK_HIGH_RISK,P0,locked special-authority browser skills only under future explicit grant,POWER_UNIFICATION_PACK_4_BROWSER_L5_L6_PRODUCT_BACKEND_V1,login/payment/upload/js damage if opened as normal browser power,Keep hard-stopped; product spine can expose locked metadata only
BYPASS-ORGDISP-001,sentinel-control/services/sentinel-core/sentinel/agent/organs/organ_dispatch.py,branch-heavy imports plus OrganRequestFactory/spec registry,OrganDispatch branch matrix -> organ handlers,BYPASS_DEPRECATE,P1,organ spec registry + ProductActionKernel backend dispatch,POWER_UNIFICATION_PACK_1_DIRECT_BYPASS_ELIMINATION_V1,dual dispatch semantics and divergent receipts,Pack E/F began this; Pack 1 should mark product path non-primary here
BYPASS-BROWSER-001,sentinel-control/services/sentinel-core/sentinel/agent/organs/browser_session_manager_l5_live.py,lines 356 and 1226 BrowserSessionManagerL5Live cloak session manager,BrowserSessionManagerL5Live direct live backend,BYPASS_PRODUCT_WIRE,P0,real_browser skill -> backend selector -> Cloak/session backend,POWER_UNIFICATION_PACK_4_BROWSER_L5_L6_PRODUCT_BACKEND_V1,cookies/session/profile leakage if not controlled,Keep Cloak as product-leading backend; hide manager details from model
BYPASS-BROWSER-002,sentinel-control/services/sentinel-core/sentinel/organs/browser/navigation_l6.py,normal_browser_l6 and receipt adapter around browser navigation,standalone L6 navigation organ path,BYPASS_LOCK_HIGH_RISK,P0,real_browser special authority route under explicit future grants,POWER_UNIFICATION_PACK_4_BROWSER_L5_L6_PRODUCT_BACKEND_V1,cross-origin/login/payment/contact if opened broadly,Preserve hard boundaries; wire only bounded search/inspect/extract first
