"blocker_id","file","function_or_class","trigger_condition","current_effect","surface_affected","model_visible_or_internal","real_damage_prevented","exact_damage_if_yes","false_positive_risk","power_loss_caused","recommended_decision","priority","test_required"
"BF-CORE-001","sentinel/operator/model_led_task_loop.py","ModelLedTaskLoop.run","ActionKernelError or LoopGuardError raised from normal loop path","Mission becomes blocked and FinalGate/certificate records blocked truth","generic task loop","internal surfaced to model as blocked reason","partial","Prevents unsafe continuation only when the error is a true hard boundary","high","Normal in-scope runtime misses can still terminate the mission before recovery power is used","CONVERT_TO_RECOVERY","P0","Recoverable executor failures continue with refreshed context; true hard stops still block"
"BF-CORE-002","sentinel/operator/action_kernel.py","ActionKernel.execute","Registered executor raises an unclassified exception","Classified as EXECUTOR_UNCLASSIFIED_FAILURE and raised as ActionKernelError","all skills","internal","partial","Protects source invariants, but not a specific real-world damage for ordinary actuation failure","high","Browser/ref/runtime misses become mission death instead of model recovery","CONVERT_TO_RECOVERY","P0","Unclassified in-scope timeout/ref/runtime miss returns ActionResult.recoverable=True"
"BF-CORE-003","sentinel/operator/action_kernel.py","ActionKernel.execute","No executor registered for a model-visible action","Raises action_executor_missing:<capability>","skill dispatch","internal","partial","Avoids dispatch to unowned backend","medium","A skill shown to the model can still be dead at runtime","REPLACE_WITH_SKILL_ROUTING","P0","Model-visible action must have executor or typed backend-missing recovery before model sees it"
"BF-CORE-004","sentinel/operator/model_led_task_loop.py","ModelLedTaskLoop._validate_model_action_envelope","Model output has empty capability/operation","Recoverable MODEL_ACTION_EMPTY_ENVELOPE, then terminal after correction budget","model protocol","model-visible","no","","medium","Useful natural/prose intent can burn correction budget instead of mapping to skills","CONVERT_TO_RECOVERY","P0","Metadata.reply/prose intent maps before empty envelope correction budget"
"BF-CORE-005","sentinel/operator/model_led_task_loop.py","ModelLedTaskLoop._apply_recoverable_budget","Recovery/correction turns exceed small fixed budget","RECOVERY_BUDGET_EXHAUSTED or MODEL_CORRECTION_BUDGET_EXHAUSTED blocks","loop budget","model-visible","partial","Prevents runaway provider/tool loop","high","Dynamic websites and model-native recovery can die before trying strongest route","KEEP_BUT_REQUIRE_CLEAR_AUTHORITY","P0","Budget exhaustion includes last actionable recovery route and only fires after real recovery attempts"
"BF-CORE-006","sentinel/operator/loop_guard.py","LoopGuard.check_before_action","Repeated action hash or target exceeds threshold","loop_guard_repeated_action or loop_guard_repeated_target","loop guard","internal","yes","Prevents repeated side effects such as duplicate send/click/mutation","medium","Legitimate web recovery attempts can be counted as blind repetition","CONVERT_TO_RECOVERY","P1","Refreshed candidate/action changes are not treated as identical repetition"
"BF-CORE-007","sentinel/operator/loop_guard.py","LoopGuard.check_before_model_call","Model call budget reached","loop_guard_model_call_budget","provider budget","internal","yes","Prevents provider spend/runaway loop","medium","Can block before compact finish/proof turn","KEEP_BUT_REQUIRE_CLEAR_AUTHORITY","P1","Budget edge exposes finish/proof compaction before terminal budget block"
"BF-CORE-008","sentinel/operator/loop_guard.py","LoopGuard.check_before_model_call","Deadline exceeded","loop_guard_deadline","loop budget","internal","partial","Prevents indefinite run","high","Real pages with cards visible can fail by time instead of extracting/finishing","CONVERT_TO_RECOVERY","P1","Deadline path emits final recovery/proof opportunity if no external damage would occur"
"BF-CORE-009","sentinel/operator/model_led_task_loop.py","ModelLedTaskLoop.run","Material budget reached without objective_satisfied","Completes as model_led_task_loop_material_budget_reached in some paths","mission closeout","internal","yes","Stops further material effects","medium","Can look like success without model finish/objective proof","KEEP_BUT_REQUIRE_CLEAR_AUTHORITY","P0","Budget closeout must be budget-truth not product success unless proof satisfied"
"BF-CORE-010","sentinel/operator/model_led_task_loop.py","ModelLedTaskLoop.run","finish_only_due_to_material_budget and model chooses any other action","MODEL_FINISH_REQUIRED_AFTER_CHANNEL_DELIVERY or finish_required error","finish lane","model-visible","partial","Prevents extra effects after delivery/budget","medium","Proof or recovery action may be blocked even when needed","KEEP_BUT_REQUIRE_CLEAR_AUTHORITY","P1","Finish-only lane allows non-material proof observation but blocks new material effects"
"BF-CORE-011","sentinel/operator/model_led_task_loop.py","_is_premature_real_browser_finish","Model emits finish before real-browser proof","MODEL_FINISH_BEFORE_REAL_BROWSER_ASSERTION","browser finish","model-visible","yes","Prevents fake browser success","medium","Verified extraction/card evidence may be ignored if proof predicate too narrow","KEEP_BUT_REQUIRE_CLEAR_AUTHORITY","P0","Finish passes with verified extraction+summary, blocks without proof"
"BF-CORE-012","sentinel/operator/decision_context.py","DecisionContextBuilder.build","Only recent observation window drives progress/recovery context","Older valid receipts can disappear from decision/proof context","decision context","model-visible","partial","Avoids stale state usage","high","Long missions can lose proof and loop unnecessarily","CONVERT_TO_RECOVERY","P1","Durable receipt index contributes to proof even when older than recent observation window"
"BF-CORE-013","sentinel/operator/decision_context.py","DecisionContextBuilder.build","Legacy recommended_next_action still emitted beside skill_decision_frame","Compatibility fields can still confuse consumers that read legacy first","decision context","model-visible","no","","medium","Old primitive/static recommendations can dominate despite Pack D","MOVE_BELOW_MODEL","P0","Model clients consume skill_decision_frame/model_visible fields first; legacy marked compatibility only"
"BF-BROWSER-001","sentinel/operator/browser_model_native_control_loop.py","map_browser_model_native_intent","Safe ambiguous/natural intent with product cards visible falls back to primary recommendation","Can route to real_browser.open/search instead of extract_product_cards","browser model-native loop","model-visible","no","","high","5F blocker: visible cards were not extracted; loop kept opening/searching","REPLACE_WITH_SKILL_ROUTING","P0","If cards exist and intent is safe/ambiguous, extract_product_cards outranks open/search"
"BF-BROWSER-002","sentinel/operator/browser_model_native_control_loop.py","map_browser_model_native_intent","Text mentions open before extraction/finish intent is evaluated","Maps to real_browser.open too eagerly","browser intent mapper","model-visible","no","","medium","Natural wording can trigger open repetition instead of current-state action","REPLACE_WITH_SKILL_ROUTING","P0","Intent priority uses current world state: finish/verify/extract outrank open when proof/cards exist"
"BF-BROWSER-003","sentinel/operator/browser_model_native_control_loop.py","_recommended_mapping","No primary recommendation exists","BROWSER_INTENT_NO_SAFE_RECOMMENDATION blocks","browser intent mapper","model-visible","partial","Avoids hallucinated unowned action","high","Ambiguous but safe intent dies instead of observe/extract/search recovery","CONVERT_TO_RECOVERY","P0","No recommendation emits recoverable observation with strongest safe skill fallback"
"BF-BROWSER-004","sentinel/operator/browser_model_native_control_loop.py","_HARD_BOUNDARY_MARKERS","Words like inquiry/download/upload/javascript appear in safe research text","BROWSER_INTENT_HARD_BOUNDARY","browser intent mapper","model-visible","partial","Prevents contact/upload/JS/payment risks","high","Benign research language can be blocked by keyword","KEEP_BUT_REQUIRE_CLEAR_AUTHORITY","P1","Hard-boundary classifier uses action semantics and authority, not raw substring only"
"BF-BROWSER-005","sentinel/operator/real_browser_control_runtime.py","RealBrowserControlRuntime._open","URL param present on open","real_browser_url_param_blocked","browser open","internal","yes","Prevents arbitrary origin navigation","medium","Granted bounded URL cannot be model-selected even if authority allows it","KEEP_BUT_REQUIRE_CLEAR_AUTHORITY","P1","Allowed-origin URL opens; ungranted origin blocks"
"BF-BROWSER-006","sentinel/operator/browser_backend_selector.py","select_browser_backend","Preferred backend differs from actual engine","Preflight/block or compatibility confusion","browser backend","internal","partial","Avoids false backend provenance","medium","Cloak/session can be visible yet not used by runtime","KEEP_BUT_REQUIRE_CLEAR_AUTHORITY","P0","Selected backend truth must match actual runtime or block clearly before attempt"
"BF-BROWSER-007","sentinel/operator/actionability_registry.py","default_actionability_registry","Raw primitives still listed in registry/actions","type_text/click/wait can be exposed by generic paths","browser actionability","model-visible","partial","Hides some unsafe primitives but not consistently","medium","Model pilots low-level Playwright-like API instead of browser skill","MOVE_BELOW_MODEL","P0","Browser research frame exposes search/inspect/open_result/extract/verify, primitives internal only"
"BF-BROWSER-008","sentinel/operator/real_browser_control_runtime.py","RealBrowserControlRuntime._search","Search control not found or actuation fails","Recoverable search failure, but can still loop to repeated search/open","browser search","model-visible recovery","no","","medium","Cards already visible are not automatically routed toward extraction","CONVERT_TO_RECOVERY","P0","Two search failures with product cards recommends extract_product_cards/verify, not repeat search"
"BF-BROWSER-009","sentinel/operator/real_browser_control_runtime.py","_resolve_ref_or_recover","Unknown ref returns recovery, but hidden/disabled refs can still raise terminal errors","Mixed recoverable/terminal behavior","browser actuation","internal","yes for secret refs only","Secret/credential field access","medium","Hidden/disabled normal web states can kill mission","CONVERT_TO_RECOVERY","P1","Hidden/disabled -> recovery; secret/password fields -> hard stop"
"BF-BROWSER-010","sentinel/operator/browser_world_model.py","BrowserWorldModelBuilder","Modal/captcha/login/loading signals only advisory","Decision frame lists blocker but does not drive recovery/valid failure","browser world model","model-visible","partial","Login/captcha can represent real boundary","medium","Consent/modal/loading pages stall without concrete safe route","CONVERT_TO_RECOVERY","P1","Modal/loading suggests safe observe/wait/dismiss only when allowed; captcha/login wall valid-fails"
"BF-BROWSER-011","sentinel/operator/browser_decision_frame.py","BrowserDecisionFrameCompiler","Candidate actions derive from world model but may not prove runtime executability","Model-visible refs can still be stale/unbacked","browser decision frame","model-visible","no","","medium","Actionability promise can be false under dynamic pages","REPLACE_WITH_SKILL_ROUTING","P0","Every model-visible ref/action is backed by actionability registry or hidden"
"BF-BROWSER-012","sentinel/operator/real_browser_control_runtime.py","_extract_product_cards","Product extraction is non-material and can produce shallow/unknown fields","Cards may miss price/MOQ/supplier and not satisfy product mission","browser extraction","model-visible proof","no","","medium","Model has visible cards but no useful commerce summary","CONVERT_TO_RECOVERY","P1","Extraction cards include title/price/MOQ/supplier/caveats when visible, unknown otherwise"
"BF-BROWSER-013","sentinel/operator/real_browser_control_runtime.py","_verify_extraction","Verification passes if cards exist","May verify shallow extraction without summary quality","browser proof","internal/model-visible","partial","Prevents finish with no cards","medium","Can certify weak browser understanding","KEEP_BUT_REQUIRE_CLEAR_AUTHORITY","P1","Verify requires minimum useful card fields or explicit unknown-field caveats"
"BF-BROWSER-014","sentinel/organs/browser/*","browser organs vs real_browser runtime","Advanced organs (recovery/planner/extraction/Cloak) are not fully wired into browser skill spine","Dormant power remains unused","browser organs","internal","no","","high","Existing browser power remains 20 percent used","REPLACE_WITH_SKILL_ROUTING","P0","Skill spine consumes recovery/planner/extraction/Cloak bridge points without exposing organ internals"
"BF-BROWSER-015","sentinel/organs/browser/final_gate.py and sentinel/agent/final_gate.py","Browser proof ownership","Duplicate browser FinalGate/proof concepts exist","Proof paths split between organ and operator layers","browser proof","internal","partial","Avoids fake browser proof","medium","Different proof predicates can disagree and block finish","MOVE_BELOW_MODEL","P2","One browser proof contract feeds core FinalGate; legacy gates compatibility only"
"BF-PROVIDER-001","sentinel/agent/model_execution/openai_compatible.py","OpenAICompatibleChatProvider.execute","strict_json_only rejects prose-wrapped JSON","strict_json_rejected","provider parser","internal","partial","Avoids ambiguous/multiple JSON execution","high","Real models that explain then provide useful object are blocked","CONVERT_TO_RECOVERY","P1","Extract single safe object below model; reject multiple/conflicting/truncated"
"BF-PROVIDER-002","sentinel/operator/read_only_model_clients.py","_extract_provider_visible_content","Envelope must have exactly one safe content key","Unsafe wrapper or multiple-key rejection","provider wrapper","internal","partial","Prevents wrapper authority/raw payload confusion","high","Provider dialects become blocker even with usable reply","CONVERT_TO_RECOVERY","P1","Sanitize provider metadata and extract one safe visible content channel"
"BF-PROVIDER-003","sentinel/operator/read_only_model_clients.py","_extract_provider_visible_content","Non-scalar metadata object present","Rejected as unsafe metadata","provider metadata","internal","mostly no","","high","Harmless usage/provider metadata blocks decisions","MOVE_BELOW_MODEL","P1","Hash/redact object metadata; keep authority/credential fields hard"
"BF-PROVIDER-004","sentinel/operator/read_only_model_clients.py","ReadOnlyProviderDecisionClient","Provider prose reply must parse to JSON object","Decision failure before tool action","read-only decision","model-visible","no","","high","Model intelligence constrained by brittle schema","CONVERT_TO_RECOVERY","P1","Natural/semi-structured safe intent maps to internal skill where possible"
"BF-PROVIDER-005","sentinel/operator/model_decision_extractor.py","extract_model_decision","Unsafe fields like reasoning/authority/credentials/workspace are present","Extraction hard-fails","model decision extraction","internal","yes","Raw reasoning/secrets/authority escalation persistence","medium","Legitimate provider metadata can be caught if names overlap","KEEP_HARD_STOP","P0","Unsafe control fields hard fail; harmless metadata sanitized"
"BF-PROVIDER-006","sentinel/operator/model_decision_extractor.py","extract_model_decision","Action not in read-only set","Unsupported action error","read-only protocol","model-visible","partial","Prevents shell/write/payment under read-only authority","medium","Read-only spine dominates and rejects safe higher-level skills","REPLACE_WITH_SKILL_ROUTING","P1","Unsupported safe action routes through skill registry; unsafe actions still hard stop"
"BF-PROVIDER-007","sentinel/agent/model_execution/validator.py","validate_model_execution_output","Authority/tool/provider override signals found","AUTHORITY_EXPANSION_REJECTED","provider validation","internal","yes","Model-granted authority/provider-native escalation","medium","Harmless metadata with words like authority can be blocked","KEEP_BUT_REQUIRE_CLEAR_AUTHORITY","P1","Semantic classifier separates actual authority request from benign text"
"BF-PROVIDER-008","sentinel/agent/model_execution/coordinator.py","ModelExecutionCoordinator.execute","Registry/provider/backend missing or disabled","Provider call blocked","provider routing","internal","yes","No implicit model/provider power","low","Config gaps look like product failure","KEEP_BUT_REQUIRE_CLEAR_AUTHORITY","P1","Preflight reports missing config names only; explicit provider selection can proceed"
