component,category,source,symbol,production_callers,evidence_present,state_owned,effects_owned,authority_owned,proof_owned,decision,canonical_owner,migration_gate,deletion_gate,tests_affected
public_cli_canonical_product_run,public_mission_surface,sentinel/cli.py,_run_canonical_product_command,,True,root MissionRecord bootstrap via helper,delegates to RuntimeHost product task loop,descriptive MissionAuthoritySummary,product task loop FinalGate/proof root summary,TEMPORARY_BOUNDARY_ADAPTER,RootMissionRuntime public entrypoint,prove canonical replacement gate and remove bridge as final path,delete or archive after public route reaches canonical owner without bypass,test_public_product_cli_entrypoint_reaches_runtimehost_product_action_kernel_spine
public_cli_canonical_dev_run,public_mission_surface,sentinel/cli.py,_run_canonical_dev_command,,True,RootMissionRuntime local MissionRecord,RootMissionRuntime workspace effect executor,canonical graph metadata,non-authentic local proof root,ARCHIVE_RESEARCH,RootMissionRuntime test/dev harness,keep as dev probe only; never product closure,archive after product public path has equivalent local scripted probe,test_public_dev_cli_entrypoint_runs_canonical_core_vertical_slice
public_cli_cockpit_chat,public_mission_surface,sentinel/cli.py,_run_cockpit_command,,True,legacy cockpit conversation/run state,read-only research and cockpit dispatch,authority-scope flags,legacy turn summaries,MIGRATE,RootMissionRuntime,public cockpit must create one root MissionRecord and one canonical DecisionProtocol,delete legacy internal direct path after parity,future public cockpit single-spine probe
public_cli_power_lab_run,public_mission_surface,sentinel/cli.py,run_power_lab_mission,sentinel/power_lab.py,True,PowerLab mission state,PowerLab executors,preset authority,PowerLab receipts,MIGRATE,RootMissionRuntime,PowerLab missions route through canonical root runtime,archive standalone runner after parity,future power_lab single-spine probe
public_cli_browser_demos,public_mission_surface,sentinel/cli.py,_run_browser_session_demo,,True,browser demo run dirs,direct browser organs,browser demo mission files,browser demo evidence artifacts,ARCHIVE_RESEARCH,Browser organ adapter under ProductActionKernel,"browser demos become acceptance probes, not public product routes",archive after browser organ route parity,future browser organ route parity tests
root_mission_runtime,executable_cognitive_spine,sentinel/operator/canonical_core.py,RootMissionRuntime,,True,"MissionRecord, CanonicalState, progress, terminalization, cleanup",currently executes workspace effects directly,canonical graph required_authority,MissionProofRoot and canonical receipts,MIGRATE,RootMissionRuntime,remove direct effect execution; dispatch effects through ProductActionKernel,none until replacement is live-proven,test_product_vertical_slice_persists_mission_record_receipts_proof_and_terminal_state
runtime_host_product_task_loop,executable_cognitive_spine,sentinel/operator/runtime_host.py,run_product_action_kernel_task_loop,sentinel/cli.py;sentinel/operator/browser_cortex_deterministic_runner.py;sentinel/operator/browser_cortex_search_entity_development.py,True,ProductTaskResourceScope and child mission orchestration,ProductActionKernel effect dispatch,MissionLifecycleService/ProductActionKernel adapter authority,ProductActionKernelTaskLoopFinalGate,KEEP,RuntimeHost hosting/lifecycle only,strip cognition/state ownership into RootMissionRuntime,delete cognitive pieces only after RootMissionRuntime owns loop,test_runtimehost_product_task_loop_entrypoint
model_led_product_action_kernel_task_loop,model_decision_loop,sentinel/operator/model_led_product_action_kernel_task_loop.py,ModelLedProductActionKernelTaskLoop,sentinel/operator/runtime_host.py,True,loop context and progress state,ProductActionKernel dispatch,action preflight and grants,"FinalGate, replay, proof index",MIGRATE,RootMissionRuntime cognition loop,RootMissionRuntime consumes model decisions; ProductActionKernel only executes effects,delete duplicated cognitive loop after parity,test_power_cleanup_pack10_product_task_loop_runtimehost_entrypoint.py
legacy_model_led_task_loop,model_decision_loop,sentinel/operator/model_led_task_loop.py,ModelLedTaskLoop,sentinel/operator/power_skill_registry.py;sentinel/operator/runtime_connections.py,True,legacy loop state,ActionEnvelope dispatch,legacy mission authority,legacy certificates,MIGRATE,RootMissionRuntime,classify callers and migrate or archive,delete after caller count is zero,future legacy loop caller probe
product_model_native_decision_client,model_decision_loop,sentinel/operator/product_model_native_decision_client.py,ProductModelNativeDecisionClient,sentinel/cli.py,True,none,none,none,request metadata only,MIGRATE,canonical model decision client,emit CanonicalDecision directly instead of legacy ActionEnvelope adapter,remove adapter mode after public route parity,test_public_product_cli_real_provider_mode_uses_product_native_transport
