capability,implementation_exists,canonical_owner,product_reachable,model_usable,hidden_backend_usable,live_proof_tier,repeated_proof,known_duplicate_path,known_blocker,competitor_pattern_reference,recommended_disposition
observe,yes,RealBrowserControlRuntime and BrowserSessionManagerL5Live,partial,partial as state/context yes as direct observe limited,yes,T3_REAL_MODEL_PRODUCT_PROVEN,Python.org vertical,legacy BrowserControlRuntime observe,observe not cleanly exposed as open strategy-free model affordance,OpenClaw sensory snapshot breadth,RECONNECT_EXISTING_POWER
semantic_page_understanding,yes,BrowserEnvironmentState plus BrowserWorldModel,yes,yes,yes,T3_REAL_MODEL_PRODUCT_PROVEN,Python.org vertical,agent/browser cortex and semantic extraction organ,BES not sole state and commerce residue remains,OpenClaw and UI-TARS multi-source context,UNIFY_DUPLICATED_POWER
DOM,yes,sentinel/organs/browser/dom_snapshot.py,no,no,yes,EXISTS_IN_SOURCE,no,organs/browser DOM stack,not fused into product BES,OpenClaw DOM/AI snapshot,RECONNECT_EXISTING_POWER
accessibility_tree,yes,DevTools machine intelligence and cdp_ax,partial,limited through refs,yes,T1_LOCAL_PROVEN,no,cdp_ax accessibility_snapshot devtools AX,not full product-canonical AX graph,OpenClaw AX snapshots,RECONNECT_EXISTING_POWER
screenshot_visual_grounding,yes,visual grounding/UI/rendered snapshot organs,no,no,yes,T1_LOCAL_PROVEN,no,visual_grounding rendered_snapshot UI observation,not product default and screenshot policy must stay safe,UI-TARS visual grounding/event stream,RECONNECT_EXISTING_POWER
CDP_BiDi,partial,BrowserDevToolsAdapter and native CDP backend,partial,no,yes,T1_LOCAL_PROVEN,no,DevTools adapter/native CDP,BiDi not found product-reachable and CDP not fully in BES,OpenClaw CDP sessions,RECONNECT_EXISTING_POWER
network_request_understanding,yes,Cloak backend metadata plus BES protocol graph,partial,yes as summary,yes,T3_REAL_MODEL_PRODUCT_PROVEN,Python.org vertical,DevTools network ledger,summary only not deep request graph,OpenClaw request cache,RECONNECT_EXISTING_POWER
console_runtime_understanding,yes,Cloak backend metadata plus DevTools console ledger,partial,yes as summary,yes,T1_LOCAL_PROVEN,no,DevTools console ledger,not product-rich runtime error graph,OpenClaw debug traces,RECONNECT_EXISTING_POWER
storage_session_metadata,yes,BrowserEnvironmentState and advanced authority organs,partial,yes as metadata only,yes,T1_LOCAL_PROVEN,no,cookie storage contract/private session organs,safe metadata only and special authority not product-routed,Jarvis sidecar/session patterns,RECONNECT_EXISTING_POWER
search,yes,RealBrowserControlRuntime,yes,yes,yes,T3_REAL_MODEL_PRODUCT_PROVEN,Python.org repeated technical completion,legacy search/ref helpers,receipt auditability and multisite quality not proven,OpenClaw search/navigation breadth,KEEP_AND_PROVE_MULTI_SITE
