path,layer,area,lines,classes,top_level_functions,flags,cut_decision
sentinel-control/services/sentinel-core/sentinel/agent/organs/__init__.py,agent_organs,browser,977,,,receipt;finalgate;authority;replay,KEEP
sentinel-control/services/sentinel-core/sentinel/agent/organs/browser_account_creation_special_authority_l7.py,agent_organs,browser,400,BrowserAccountCreationStatus;BrowserAccountCreationFinalGateDecision;BrowserAccountCreationContract;BrowserAccountCreationRequest;BrowserAccountCreationBackendResult;BrowserAccountCreationBackend;BrowserAccountCreationFakeBackend;BrowserAccountCreationReceipt;BrowserAccountCreationFinalGateCertificate;BrowserAccountCreationResult;BrowserAccountCreationFinalGate;BrowserAccountCreationOrganL7,render_browser_account_creation_receipt_as_untrusted_context;_validate_request;_safe_payload;_hostname,receipt;finalgate;authority,KEEP_LOCKED
sentinel-control/services/sentinel-core/sentinel/agent/organs/browser_benchmark_gauntlet_web_arena_style.py,agent_organs,browser,391,BrowserBenchmarkScenarioKind;BrowserBenchmarkGauntletStatus;BrowserBenchmarkGauntletFinalGateDecision;BrowserBenchmarkGauntletContract;BrowserBenchmarkGauntletRequest;BrowserBenchmarkScenarioScore;BrowserBenchmarkGauntletReport;BrowserBenchmarkGauntletReceipt;BrowserBenchmarkGauntletFinalGateCertificate;BrowserBenchmarkGauntletResult;BrowserBenchmarkGauntletFinalGate;BrowserBenchmarkGauntletOrgan,render_browser_benchmark_gauntlet_receipt_as_untrusted_context;_build_report;_score_scenario;_clamp01;_hostname,receipt;finalgate;authority,KEEP
sentinel-control/services/sentinel-core/sentinel/agent/organs/browser_boundary_manager_l6_l7.py,agent_organs,browser,388,BrowserBoundaryKind;BrowserBoundaryStatus;BrowserBoundaryAction;BrowserBoundaryFinalGateDecision;BrowserBoundaryContract;BrowserBoundaryRequest;BrowserBoundaryFinding;BrowserBoundaryCheckpoint;BrowserBoundaryReceipt;BrowserBoundaryFinalGateCertificate;BrowserBoundaryResult;BrowserBoundaryFinalGate,render_browser_boundary_receipt_as_untrusted_context;_classify;_checkpoint;_kind_from_signal;_recommended_action;_control_view;_hostname,receipt;finalgate;authority,KEEP_LOCKED
sentinel-control/services/sentinel-core/sentinel/agent/organs/browser_controlled_extension_webmcp_bridge_l7.py,agent_organs,browser,442,BrowserExtensionBridgeSurface;BrowserExtensionBridgeStatus;BrowserExtensionBridgeFinalGateDecision;BrowserExtensionBridgeContract;BrowserExtensionBridgeRequest;BrowserExtensionBridgeBackendResult;BrowserExtensionBridgeBackend;BrowserExtensionBridgeFakeBackend;BrowserExtensionBridgeReceipt;BrowserExtensionBridgeFinalGateCertificate;BrowserExtensionBridgeResult;BrowserExtensionBridgeFinalGate,render_browser_extension_bridge_receipt_as_untrusted_context;_validate_request;_safe_payload;_safe_value;_hostname,receipt;finalgate;authority,KEEP_LOCKED
sentinel-control/services/sentinel-core/sentinel/agent/organs/browser_devtools_backend_adapter_v1.py,agent_organs,browser,558,BrowserDevToolsCapability;BrowserDevToolsStatus;BrowserDevToolsFinalGateDecision;BrowserDevToolsContract;BrowserDevToolsRequest;BrowserDevToolsBackendPayload;BrowserDevToolsBackend;BrowserDevToolsFakeBackend;BrowserSessionDevToolsBackend;BrowserNativeCdpBackend;BrowserDevToolsReceipt;BrowserDevToolsFinalGateCertificate,render_browser_devtools_receipt_as_untrusted_context;_hostname;_safe_pages;_cdp_command_plan,receipt;finalgate;authority,KEEP
sentinel-control/services/sentinel-core/sentinel/agent/organs/browser_devtools_input_parity_l5_l6.py,agent_organs,browser,371,BrowserInputParityActionKind;BrowserInputParityStatus;BrowserInputParityFinalGateDecision;BrowserInputParityContract;BrowserInputParityRequest;BrowserInputParityBackendResult;BrowserInputParityBackend;BrowserInputParityFakeBackend;BrowserInputParityReceipt;BrowserInputParityFinalGateCertificate;BrowserInputParityResult;BrowserInputParityFinalGate,render_browser_input_parity_receipt_as_untrusted_context;_validate_input;_safe_input_payload;_hostname,receipt;finalgate;authority,KEEP
sentinel-control/services/sentinel-core/sentinel/agent/organs/browser_devtools_machine_intelligence_v1.py,agent_organs,browser,500,BrowserDevToolsMachineIntelligenceStatus;BrowserDevToolsMachineIntelligenceFinalGateDecision;BrowserDevToolsMachineIntelligenceContract;BrowserDevToolsMachineIntelligenceRequest;BrowserDevToolsPageTarget;BrowserDevToolsA11yRefV2;BrowserDevToolsA11ySnapshotV2;BrowserDevToolsNetworkLedger;BrowserDevToolsConsoleLedger;BrowserDevToolsScreenshotEvidence;BrowserDevToolsEvidenceBundle;BrowserDevToolsMachineIntelligenceReceipt,render_browser_devtools_machine_intelligence_receipt_as_untrusted_context;_build_bundle;_page_target;_a11y_snapshot;_network_ledger;_console_ledger;_unsafe_raw_payload_findings;_hostname;_guess_role,receipt;finalgate;authority,KEEP
sentinel-control/services/sentinel-core/sentinel/agent/organs/browser_download_upload_quarantine_l6.py,agent_organs,browser,370,BrowserFileQuarantineActionKind;BrowserFileQuarantineStatus;BrowserFileQuarantineFinalGateDecision;BrowserFileQuarantineContract;BrowserFileQuarantineRequest;BrowserFileQuarantineSafetyValidationResult;BrowserFileQuarantineReceipt;BrowserFileQuarantineFinalGateCertificate;BrowserFileQuarantineResult;BrowserFileQuarantineFinalGate;BrowserFileQuarantineOrganL6,_validate_upload_path;_coerce_request,receipt;finalgate;authority,KEEP
sentinel-control/services/sentinel-core/sentinel/agent/organs/browser_failure_recovery_engine_v1.py,agent_organs,browser,424,BrowserFailureRecoveryStatus;BrowserFailureRecoveryKind;BrowserFailureRecoveryActionKind;BrowserFailureRecoveryFinalGateDecision;BrowserFailureRecoveryContract;BrowserFailureRecoveryRequest;BrowserFailureClassification;BrowserFailureRecoveryStep;BrowserFailureRecoveryPlan;BrowserFailureRecoveryReceipt;BrowserFailureRecoveryFinalGateCertificate;BrowserFailureRecoveryResult,render_browser_failure_recovery_receipt_as_untrusted_context;browser_failure_recovery_request_from_live_devtools_metadata;_classify;_build_plan;_non_raw_signal_view;_safe_int;_hostname,receipt;finalgate;authority,KEEP
