priority,area,finding,evidence,primary_files,recommended_power_first_action
P0,Power architecture,Model-visible actions are not guaranteed executable,"Model sees actions/refs that can fail due alias, registration, stale ref, or missing adapter","ActionKernel, ModelLedTaskLoop, DecisionContext, runtime_connections",Build actionability registry that only exposes live executable skills; convert in-scope runtime misses to recovery observations
P0,Browser power,Browser stack leaks Playwright details to model,Real Alibaba reached type_text then locator timeout killed mission,"real_browser_control_runtime, browser_world_model, browser_action_candidates","Build browser skill spine: search/inspect/extract intents; robust ref resolution, focus/fill/press/wait/recover below model"
P0,Runtime recovery,Recoverable runtime errors terminalize missions,ActionKernel wraps broad exceptions as ActionKernelError; loop blocks,"action_kernel.py, model_led_task_loop.py",Introduce execution result taxonomy: hard_stop vs recoverable_observation vs retryable_skill_recovery
P1,Product dispatch,Default product dispatcher only fully wires read_only_research,"Patch/code/browser/channel runtimes mostly reachable by harness, not product dispatcher","runtime_host.py, runtime_connections.py, unified_execution_dispatcher.py",Promote proven power skills into product dispatcher one at a time with receipts/replay
P1,Loop truth,Material budget can complete unverified work,Budget completion can accept without objective_satisfied proof,"model_led_task_loop.py, decision_context.py","Budget exhausted without proof should enter proof/recovery lane, not accepted completion"
P1,Browser proof,Browser finish/proof rules are toy-biased,Budget proof only allows assert_text while real tasks need extract/wait evidence,"model_led_task_loop.py, decision_context.py",Allow extract_text/wait_for_text/product cards as proof where mission is research/extraction
P1,Overlapping browser stacks,Four browser generations exist in parallel,"browser_control, real_browser_control, browser_live_operator, organ L4/L5/L6/V3","browser_control_runtime.py, real_browser_control_runtime.py, organs/browser, agent/organs/browser_*",Select one model-facing browser skill; route backends under it
P1,Security friction,Metadata/control-plane gates block power but do not execute,"DelegatedActionGate and manifest layers are maps, not authority/execution","delegated_action_gate.py, connection_manifest_registry.py",Keep as visibility only; do not add more approval packs before power path
P1,Replay parity,New power replay checks weaker than read-only replay,Stability counts can pass even if bad receipts are stable,"workspace_patch_replay.py, browser replay, code replay","Validate receipt schemas, mission ids, finalgate refs, receipt hashes for every power surface"
P2,Browser origin risk,Some browser paths validate before action but not after navigation,Click/fill may move to ungranted origin without uniform post-action origin gate,browser_session_manager_l5_live.py,Centralize post-action origin revalidation in browser skill runtime
P2,Channel idempotency,Duplicate-send marker is written after transport success,Crash after send before marker can resend,channel_adapter.py,Pre-reserve idempotency key or write pending-send ledger before transport
P2,Long-function debt,Core runtime has many god functions,"823 modules, 226 funcs >=80 lines, AgentRuntime.run 1131 lines","agent/runtime.py, real_model_certification.py, final_gate.py",Extract phase engines and descriptor registries only where it shortens future power work
