component_id,file_or_tree,symbol_or_surface,responsibility,caller_or_entry,actual_consumer,category,model_visibility,backend_visibility,proof_tier,recommendation,notes
product_model_native_client,sentinel/operator/product_model_native_decision_client.py,ProductModelNativeDecisionClient,Map real provider output or natural model intent to internal ActionEnvelope,real provider/model,ModelLedProductActionKernelTaskLoop,CANONICAL_PRODUCT_REACHED,model-facing through simple skills,none,T3_REAL_MODEL_PRODUCT_PROVEN,KEEP,Primary model-to-action bridge
product_task_loop,sentinel/operator/model_led_product_action_kernel_task_loop.py,ModelLedProductActionKernelTaskLoop,Run bounded model-led product loop and compile browser context,RuntimeHost product entrypoint,RuntimeHost/ProductActionKernel,CANONICAL_PRODUCT_REACHED,model context owner,none,T3_REAL_MODEL_PRODUCT_PROVEN,KEEP,Still carries legacy browser fields beside BrowserEnvironmentState
runtimehost_browser_routes,sentinel/operator/runtime_host.py,ProductActionKernelDispatchAdapter browser routes,Route browser skill operations to real browser runtime,product task loop,RealBrowserControlRuntime,CANONICAL_PRODUCT_REACHED,hidden from model as internals,dispatch backend,T3_REAL_MODEL_PRODUCT_PROVEN,KEEP,Routes search inspect open_result extract_evidence extract_product_cards verify
real_browser_runtime,sentinel/operator/real_browser_control_runtime.py,RealBrowserControlRuntime,Execute live/browser actions and create safe context cards,RuntimeHost/ProductActionKernel,Cloak/session or compatibility backend,CANONICAL_PRODUCT_REACHED,not directly model-facing,backend orchestrator,T3_REAL_MODEL_PRODUCT_PROVEN,KEEP,Main product browser body
browser_session_manager_l5,sentinel/agent/organs/browser_session_manager_l5_live.py,BrowserSessionManagerL5Live,Stateful live session manager with receipts/finalgate,RealBrowserControlRuntime,CloakBrowserSessionBackend,HIDDEN_BACKEND_REACHED,hidden backend,live session backend,T2_LIVE_BODY_PROVEN,KEEP,Direct organ calls must remain hidden from product surface
cloak_backend,sentinel/organs/browser/cloak_backend.py,CloakBrowserSessionBackend,Open Cloak persistent context and collect safe network/console metadata,BrowserSessionManagerL5Live,CloakBrowser,HIDDEN_BACKEND_REACHED,hidden backend,product backend,T3_REAL_MODEL_PRODUCT_PROVEN,KEEP,Product-leading backend
playwright_real_engine,sentinel/operator/real_browser_control_runtime.py,PlaywrightRealBrowserEngine,Compatibility/test live browser engine,explicit compatibility env only,RealBrowserControlRuntime,LEGACY_COMPATIBILITY,not model-facing,compatibility backend,T1_LOCAL_PROVEN,DELETE_AFTER_PARITY,Must not certify product power
playwright_session_backend,sentinel/organs/browser/cloak_backend.py,PlaywrightSessionBackend,Compatibility session backend,explicit compatibility only,BrowserSessionManagerL5Live,LEGACY_COMPATIBILITY,not model-facing,compatibility backend,T1_LOCAL_PROVEN,DELETE_AFTER_PARITY,Remove after Cloak parity
fixture_browser_runtime,sentinel/operator/browser_control_runtime.py,BrowserControlRuntime,Legacy fixture primitive runtime,tests/compat callers,fixture artifacts,LEGACY_COMPATIBILITY,not model-facing,test fixture backend,T1_LOCAL_PROVEN,HIDE,Not current product browser proof
browser_environment_state,sentinel/operator/browser_environment_state.py,BrowserEnvironmentState,Compact cognitive browser state with evidence/confidence/freshness,RealBrowserControlRuntime and product loop,ProductModelNativeDecisionClient,PARTIALLY_CONSUMED,model-visible state,none,T3_REAL_MODEL_PRODUCT_PROVEN,RECONNECT,Make single canonical state; currently not full sensor fusion
browser_world_model,sentinel/operator/browser_world_model.py,BrowserWorldModel,Stable refs/cards/result/entity world model,RealBrowserControlRuntime,product loop and model client,PARTIALLY_CONSUMED,model-visible compatibility field,none,T3_REAL_MODEL_PRODUCT_PROVEN,MERGE,Keep as semantic graph view under BrowserEnvironmentState
browser_decision_frame,sentinel/operator/browser_decision_frame.py,BrowserDecisionFrameCompiler,Recommended browser actions and frame,RealBrowserControlRuntime,product loop context,PARTIALLY_CONSUMED,model-visible compatibility field,none,T3_REAL_MODEL_PRODUCT_PROVEN,MERGE,Should be a view not parallel truth
browser_search_outcomes,sentinel/operator/browser_search_outcomes.py,BrowserSearchOutcomeKind,Typed search materiality classification,RealBrowserControlRuntime,receipts/context cards,CANONICAL_PRODUCT_REACHED,model sees typed summary,none,T3_REAL_MODEL_PRODUCT_PROVEN,KEEP,Search materiality proven on Python.org vertical
browser_search_boundary,sentinel/operator/browser_search_parameter_boundary.py,typed browser search boundary,Keep search query semantic and inert,ProductModelNativeDecisionClient and runtime,RealBrowserControlRuntime,CANONICAL_PRODUCT_REACHED,not model-facing,none,T3_REAL_MODEL_PRODUCT_PROVEN,KEEP,Prevents topic policing on typed search
devtools_machine_intelligence,sentinel/agent/organs/browser_devtools_machine_intelligence_v1.py,BrowserDevToolsMachineIntelligenceOrgan,AX/network/console/screenshot evidence bundle,direct tests/organs,organ-local receipt/finalgate,VALUABLE_DORMANT,not product model surface,hidden sensory organ,T1_LOCAL_PROVEN,RECONNECT,Full sensor power not yet fused into BrowserEnvironmentState
devtools_backend_adapter,sentinel/agent/organs/browser_devtools_backend_adapter_v1.py,BrowserDevToolsAdapter,Adapter for browser DevTools capabilities,direct tests/organs,organ-local receipt/finalgate,VALUABLE_DORMANT,not product model surface,hidden sensory/action backend,T1_LOCAL_PROVEN,RECONNECT,Useful as hidden CDP bridge after product wiring
input_parity_organ,sentinel/agent/organs/browser_devtools_input_parity_l5_l6.py,BrowserInputParityOrganL5L6,Input parity between extension/webmcp/backend,direct tests/organs,organ-local receipt/finalgate,VALUABLE_DORMANT,not product model surface,hidden backend,T1_LOCAL_PROVEN,RECONNECT,Should inform body reflex parity
failure_recovery_engine,sentinel/agent/organs/browser_failure_recovery_engine_v1.py,BrowserFailureRecoveryEngineV1,Classify failures and propose recovery plans,direct tests/organs,organ-local receipt/finalgate,PARTIALLY_CONSUMED,advisory only,hidden recovery planner,T1_LOCAL_PROVEN,MERGE,Product runtime has separate mechanical recovery helpers
trajectory_planner,sentinel/agent/organs/browser_trajectory_planner_l5.py,BrowserTrajectoryPlannerL5,Plan/execute self-healing browser trajectory,CLI/tests,organ-local receipt,VALUABLE_DORMANT,not model product surface,hidden planner,T1_LOCAL_PROVEN,RECONNECT,Must stay advisory/reflex not closed cognitive controller
multi_step_orchestrator,sentinel/agent/organs/browser_multi_step_task_orchestrator_v1.py,BrowserMultiStepTaskOrchestratorV1,Multi-step browser orchestration,direct tests/fake backend,organ-local receipt,VALUABLE_DORMANT,not model product surface,hidden long task helper,T1_LOCAL_PROVEN,RECONNECT,Not RuntimeHost product-routed
agent_browser_cortex,sentinel/agent/browser/cortex.py,BrowserEvidenceInterpreter,Interpret agent browser events into evidence/recommendations,AgentRuntime,agent evidence chain,PARALLEL_ACTIVE,not current product context,advisory evidence,T1_LOCAL_PROVEN,RECONNECT,Useful but must not replace model judgment
agent_browser_neural,sentinel/agent/browser/neural,Browser neural stack,Blackboard/signal/neurons/eval around browser evidence,direct tests,agent browser neural layer,VALUABLE_DORMANT,not product model surface,advisory/eval,T1_LOCAL_PROVEN,DEFER,Reconnect later as evaluation/candidate evidence
organs_browser_v3,sentinel/organs/browser,Browser V3 models/controllers,DOM AX rendering visual interaction lifecycle authority models,various tests/legacy callers,organ/browser stack,DUPLICATE_CONTRACT,not product model surface,various,T1_LOCAL_PROVEN,MERGE,Contains power but duplicates product contracts
dom_snapshot,sentinel/organs/browser/dom_snapshot.py,BrowserDomSnapshotAdapter,Safe DOM snapshot capture,organ/browser callers,not product canonical,VALUABLE_DORMANT,hidden sense,hidden perception,EXISTS_IN_SOURCE,RECONNECT,Fuse safe summaries into BrowserEnvironmentState
accessibility_snapshot,sentinel/organs/browser/accessibility_snapshot.py,BrowserAccessibilitySnapshotBuilder,Accessibility snapshot construction,organ/browser callers,not product canonical,VALUABLE_DORMANT,hidden sense,hidden perception,EXISTS_IN_SOURCE,RECONNECT,Fuse AX into BrowserEnvironmentState
cdp_ax,sentinel/organs/browser/cdp_ax.py,BrowserCdpAccessibilityAdapter,CDP accessibility capture,organ/browser callers,not product canonical,VALUABLE_DORMANT,hidden sense,hidden perception,EXISTS_IN_SOURCE,RECONNECT,CDP exists; BiDi not product found
visual_grounding,sentinel/agent/organs/browser_visual_grounding_ocr_v1.py,BrowserVisualGroundingOrganV1,Visual/OCR grounding with receipt/finalgate,direct tests/organs,organ-local receipt,VALUABLE_DORMANT,not product model surface,hidden perception,T1_LOCAL_PROVEN,RECONNECT,Needed for full browser organism
