system_id,path_hash,project_name,commit_or_version,license,primary_runtime,reachability,model_entry,planner_or_decision_loop,browser_state_perception,action_execution,backend,recovery,final_answer_path,evidence_or_citation_path,capability_summary,cognitive_architecture,proof_architecture,safety_authority,evaluation_truth,proof_tier,core_evidence,uncertainty
sentinel_browser_product_path,sentinel_repo_relative,Sentinel Browser Organ Product Path,current working tree,project internal,Python,CURRENT_PRODUCT_REACHABLE,"ModelLedProductActionKernelTaskLoop via RuntimeHost","model-led product loop; skill-first actions; ProductActionKernel dispatch","BrowserEnvironmentState; real_browser_control summary; browser failure packets; Cloak session receipts; safe DevTools metadata","RuntimeHost _default_real_browser_executor to RealBrowserControlRuntime / BrowserSessionManagerL5Live","Cloak/session product-leading; Playwright explicit compatibility only","runtime_failure_fact; model_visible_body_failure_packet; recoverable observations; FinalGate/replay","sentinel_loop.finish through product task loop","ProductActionKernelReceipt; skill receipts; BrowserSessionReceipt; FinalGate; replay; evidence bundles","DOM/safe world model yes; AX/devtools partial; network/console safe metadata partial; tabs/session yes; search/extract/verify yes; downloads/uploads/login special authority only","model remains mind; Sentinel provides body/senses/proof; recommendations advisory","strong receipts/replay/FinalGate; current gap is answer claim evidence and receipt persistence indexing","authority envelope; no silent fallback; secret/raw DOM/cookie/session exclusion; hard stops at effect boundaries","local + live Cloak + real-model Python golden missions proven; holdout/generalization not proven","T3 for Python.org product path; T1/T2/T3 split by capability","runtime_host.py:417; runtime_host.py:854; model_led_product_action_kernel_task_loop.py:152; browser_session_manager_l5_live.py:357; cloak_backend.py:52; unified_execution_dispatcher.py:173; mission_artifact_bundle.py:112","Claim-to-evidence persistence remains incomplete; multi-site generalization not proven"
openclaw_current_external,a98599a7eeda8c9d,OpenClaw external checkout,aa76cf43f0113b25091cd6edda0b791b0f611822 / 2026.4.19-beta.2,MIT,TypeScript/Node,PRODUCT_REACHABLE_IN_OWN_RUNTIME,"OpenClaw agent tools and browser control server","agent/tool runtime with browser route gateway and plugin tools","Chrome MCP snapshot; Playwright AI snapshot; role/ARIA snapshot; screenshots with labels; requests/debug/storage","agent.act routes to Playwright action executor; tabs/basic/storage/debug routes","Playwright/Chrome CDP; browser control server","route-level error handling; limited evidence of model-visible recovery feedback","tool/route response back to agent","debug route requests; traces; route responses; no Sentinel-style FinalGate/replay found","DOM/AX/screenshot/CDP/network/storage/tabs/forms/upload/evaluate strong; long horizon via tools/plugins","mostly model-led tool use with strong browser affordances; risk of route-level micro-action surface","route outputs and traces; not independent receipt/replay proof architecture","auth middleware and route auth; storage and evaluate are powerful surfaces needing Sentinel governance","source-code reachability only in this audit; not executed","T0/T1 code-reachable comparator","extensions/browser/src/server.ts:26; routes/agent.snapshot.ts:355; routes/agent.act.ts:336; routes/agent.storage.ts:67; pw-session.ts:82; pw-tools-core.snapshot.ts:23","No live execution here; answer citation/claim proof not established from code"
openclaw_agent_lab_snapshot,2373f213526fe6ae,OpenClaw Agent Lab vendor,a2288c2b09e621f89a915960398f58e200b3b69d / 2026.2.1,MIT,TypeScript/Node,PRODUCT_REACHABLE_IN_OWN_RUNTIME,"OpenClaw agent/runtime snapshot","similar browser gateway and plugin-tool architecture in older snapshot","browser routes and agent tool surfaces per harvested audit","route/tool execution","Playwright/CDP style browser backend","route errors; plugin/runtime recovery unclear","agent response/tool output","logs and route outputs; no shared receipt/replay equivalent proven","broad browser power including profiles/storage/evaluate/upload/dialog hooks in harvested audit","broad tool autonomy; risk if copied without Sentinel authority/proof","weaker than Sentinel proof layer; stronger raw browser surface","dynamic plugins and browser control require capability gating","source-only Agent Lab audit; no runtime","T0/T1 comparator","agent-lab/audits/final/openclaw_final_forensic_report.md; module-harvest/browser/openclaw/OPENCLAW_BROWSER_ENTRYPOINTS.md","Snapshot may lag external OpenClaw; claims limited to code/audit evidence"
jarvis_agent_lab_snapshot,562e2cfbf6a890b3,Jarvis Agent Lab vendor,20bf2b79657002fa2668a2ecf4ff5c6611d9bd4b,Jarvis Source Available License 2.0,TypeScript/Bun plus sidecar,PRODUCT_REACHABLE_IN_OWN_RUNTIME,"agent/orchestrator tools; daemon services","tool registry; agent orchestration; sidecar RPC","browser session/CDP files; desktop snapshot/screenshot tools; sidecar capabilities","tool registry maps browser/desktop tools to sidecar/local controllers","Chrome/CDP; sidecar; desktop controllers","approval/deferred executor; emergency controller; authority engine","tool result to agent/orchestrator","audit trail and approval records; not claim-to-evidence/replay parity","browser CDP basic; desktop UI tree/screenshot strong; app control strong; long-running daemon/workflows","more OS-body oriented than browser-cortex; some fixed approval/control layers","authority/audit sidecar strong; receipts/replay less formal than Sentinel","central AuthorityEngine; tool-action map; emergency kill; approval manager","source-only audit; tests present, no execution here","T0/T1 comparator","authority/engine.ts:61; authority/tool-action-map.ts:20; sidecar/protocol.ts:33; actions/tools/desktop.ts:288; actions/browser/session.ts; actions/browser/cdp.ts","Exact browser product call path needs deeper runtime execution tracing; license is source-available"
webwright_agent_lab_snapshot,2e418707f78d6a2a,Webwright Agent Lab vendor,4a46f282ec37f27d6003cc498a977939d62d9015,MIT,Python,PRODUCT_REACHABLE_IN_OWN_RUNTIME,"DefaultAgent CLI loop","code-as-action loop; model writes/runs Python snippets; workspace is state","Playwright page/context plus screenshots/logs when needed","LocalBrowserEnvironment executes async Python code against page/context/browser","Playwright local/persistent/CDP modes","agent debugs by rerunning scripts and inspecting screenshots","agent final trajectory/result","trajectory.json; raw/sanitized messages; screenshots; step artifacts","navigation/forms/search arbitrary Playwright code strong; DOM/CDP via script; vision via screenshots","max model freedom through code-as-action; very powerful but needs sandbox/governance in Sentinel","excellent trajectories for inspection; weaker authority/receipts/FinalGate/no-react replay","depends on sandbox boundaries; raw scripts can create high effect surface","unit tests and claimed benchmark artifacts; no live run in this audit","T0/T1 comparator","src/webwright/agents/default.py:83; default.py:341; environments/local_browser.py:191; local_browser.py:387; local_browser.py:432; run/cli.py:31","README benchmark claims not accepted without rerun; raw screenshot/script artifacts unsuitable by default"
ui_tars_agent_lab_snapshot,abb32c7b74b22c9e,UI-TARS Desktop / Agent TARS vendor,e9f3387288da4af2ad99972da2ac916cdabce093,Apache-2.0,TypeScript/Electron/Node,PRODUCT_REACHABLE_IN_OWN_RUNTIME,"GUI agent SDK / Agent TARS runtime","multimodal GUI/browser action loop; action parser; event stream","screenshots; visual grounding; DOM/hybrid browser docs; operator browser page state","browser operator executes parsed actions such as navigate/click/type/hotkey/scroll","Puppeteer/browser operator; GUI/computer operator; MCP tools","wait/retry/action loop; event stream traces","finished action content from parser","event stream snapshots; visualizer; no Sentinel-style claim matrix/replay","vision/screenshot strong; browser/desktop action strong; DOM hybrid claimed; network/receipt proof limited","model-led visual action, but action language/prompt parser can become fixed trajectory ceiling","event stream good for observability, not independent receipt/replay proof by itself","security docs; remote/local operators need strong authority wrapping","source-only comparator; snapshots/tests present","T0/T1 comparator","multimodal/gui-agent/operator-browser/src/browser-operator.ts:218; browser-operator.ts:237; gui-agent/agent-sdk/src/ToolCallEngine.ts:35; prompts.ts:9; prompts.ts:148","Browser claims partly from docs; exact product route broad and not executed"
openjarvis_agent_lab_snapshot,bbb15d21fa3467a3,OpenJarvis Agent Lab vendor,bb904804302dd7a6f81698b49bf38dd22f06e3de,Apache-2.0,Python/Rust/TypeScript,EXECUTABLE_NOT_BROWSER_PRODUCT_ROUTED,"CLI agents; orchestrator/native ReAct; tool registry","registry-driven tools, local/cloud engines, learning/eval loops","browser assistant example; tools/retrieval/memory; not a focused browser cortex","ToolExecutor / BaseTool execution","Python tools; Rust engine/security/telemetry crates; connectors","tool errors; benchmark/eval framework; learning loops","agent answer with tool results","telemetry/eval traces; citations in deep research/doc QA areas","browser weaker than OpenClaw/Webwright; evaluation/memory/cost infrastructure strong","open-world skills and learning direction useful; browser not primary organ","telemetry/eval/export stronger than most comparators; receipts not Sentinel-style","security/capability crates; confirmation flags; local-first privacy focus","many tests/evals visible; no execution here","T0/T1 adjacent comparator","docs/user-guide/tools.md:100; docs/user-guide/tools.md:181; tests/evals/*; rust/crates/openjarvis-security/src/capabilities.rs; src/openjarvis/agents/deep_research.py","Browser execution path not fully traced; useful mainly for eval/learning patterns"
gptme_agent_lab_snapshot,d01398dea8edc474,gptme Agent Lab vendor,7355b1820342a43cda846cd88cee291b77b6f2dc,MIT-like permissive,Python,EXECUTABLE_NOT_BROWSER_PRODUCT_ROUTED,"chat/agent loop with tools","terminal-oriented agent loop","browser/web tools present by docs/source census but not primary browser cortex","tool execution","local shell/web tools","agent loop recovery","chat answer","logs/transcripts; not FinalGate/replay","general agent not browser-specialized","model-led tool use; less governed body model","lightweight logs; weak independent auditability","depends on tool boundaries","source census only","T0 comparator","agent-lab vendors census; package/license metadata","Not deeply traced because higher-value browser systems were prioritized"
agent_zero_agent_lab_snapshot,a737c56bd1a6277d,Agent Zero Agent Lab vendor,f9d8167a0004632ea7d8b37f585f392c39865919,MIT,Python,EXECUTABLE_NOT_BROWSER_PRODUCT_ROUTED,"agent runtime","autonomous multi-agent/tool loop","browser/web capability from source census, not product browser cortex","tools/subprocess/browser as configured","local tools and browser dependencies","agent reflection/retry patterns","agent final response","logs; no Sentinel proof layer","generalist agent; browser not final-organ model","model-led but can be broad/open-ended without Sentinel-grade authority","not independently auditable to Sentinel standard","tool sandboxing/permissions need review","source census only","T0 comparator","agent-lab vendors census; package/license metadata","Not deeply traced in Stage A; include only as secondary comparator"
deerflow_agent_lab_snapshot,c8e6eb79bb7cffbb,DeerFlow Agent Lab vendor,9a5de8d6a5a75c9f277a79d36b90407e3029a1ba,MIT,Python/TypeScript,EXECUTABLE_RESEARCH_WORKFLOW,"research workflow / graph","research/planning workflow, not browser organ","web/search/retrieval workflow state","graph/tool execution","search/retrieval/browser-adjacent tools","workflow retries","research report","citations/research artifacts","strong research pipeline, weaker browser actuation","planner/graph may become strategy ceiling if over-copied","citations better than raw browser proof; no browser lifecycle proof","workflow sandboxing needs separate review","source census only","T0/T1 adjacent comparator","agent-lab vendors census; source files under deerflow/source","Browser-specific capability not primary; treat as research-answer comparator"
