component,category,source,symbol,production_callers,evidence_present,state_owned,effects_owned,authority_owned,proof_owned,decision,canonical_owner,migration_gate,deletion_gate,tests_affected
public_cli_canonical_product_run,public_mission_surface,sentinel/cli.py,_run_canonical_product_command,[],True,root MissionRecord bootstrap via canonical core helper,delegates to canonical root runtime,descriptive MissionAuthoritySummary,canonical proof root summary,KEEP,RootMissionRuntime public entrypoint,"route through one root MissionRecord, graph and ProductActionKernel workspace dispatch in C2",delete bridge pieces only after C2 parity,C2 workspace single-spine probes
public_cli_canonical_dev_run,public_mission_surface,sentinel/cli.py,_run_canonical_dev_command,[],True,none,none,none,none,MIGRATE_DELETE,RootMissionRuntime test/dev harness,C2 qualified route parity required before deletion,delete only after qualified callers and acceptance probes prove parity,C2 workspace single-spine probes
public_cli_cockpit_chat,public_mission_surface,sentinel/cli.py,_run_cockpit_command,[],True,none,none,none,none,MIGRATE_DELETE,RootMissionRuntime,C2 qualified route parity required before deletion,delete only after qualified callers and acceptance probes prove parity,C2 workspace single-spine probes
public_cli_power_lab_run,public_mission_surface,sentinel/cli.py,run_power_lab_mission,[],True,none,none,none,none,MIGRATE_DELETE,RootMissionRuntime,C2 qualified route parity required before deletion,delete only after qualified callers and acceptance probes prove parity,C2 workspace single-spine probes
public_cli_browser_demos,public_mission_surface,sentinel/cli.py,_run_browser_session_demo,[],True,none,none,none,none,MIGRATE_DELETE,Browser organ adapter under ProductActionKernel,C2 qualified route parity required before deletion,delete only after qualified callers and acceptance probes prove parity,C2 workspace single-spine probes
root_mission_runtime,model_decision_loop,sentinel/operator/canonical_core.py,RootMissionRuntime,[],True,"MissionRecord, CanonicalState, progress, terminalization, cleanup",currently executes workspace effects directly,canonical graph required_authority,MissionProofRoot and canonical receipts,KEEP,RootMissionRuntime,remove direct effect execution; dispatch effects through ProductActionKernel,delete only after qualified callers and acceptance probes prove parity,C2 workspace single-spine probes
runtime_host_class,host_lifecycle,sentinel/operator/runtime_host.py,SentinelRuntimeHost,"[{""call_kind"": ""constructor_call"", ""caller"": ""sentinel.cli::_run_cockpit_command"", ""resolution"": ""QUALIFIED"", ""source"": ""sentinel/cli.py:1173"", ""target"": ""sentinel.operator.runtime_host.SentinelRuntimeHost""}, {""call_kind"": ""constructor_call"", ""caller"": ""sentinel.cli::_run_canonical_product_command"", ""resolution"": ""QUALIFIED"", ""source"": ""sentinel/cli.py:553"", ""target"": ""sentinel.operator.runtime_host.SentinelRuntimeHost""}, {""call_kind"": ""constructor_call"", ""caller"": ""sentinel.operator.browser_cortex_deterministic_runner::run_browser_cortex_deterministic_baseline"", ""resolution"": ""QUALIFIED"", ""source"": ""sentinel/operator/browser_cortex_deterministic_runner.py:212"", ""target"": ""sentinel.operator.runtime_host.SentinelRuntimeHost""}, {""call_kind"": ""constructor_call"", ""caller"": ""sentinel.operator.browser_cortex_search_entity_development::run_browser_cortex_search_entity_development_corpus"", ""resolution"": ""QUALIFIED"", ""source"": ""sentinel/operator/browser_cortex_search_entity_development.py:127"", ""target"": ""sentinel.operator.runtime_host.SentinelRuntimeHost""}, {""call_kind"": ""constructor_call"", ""caller"": ""sentinel.operator.browser_cortex_search_entity_development::_run_browser_cortex_search_entity_development_manifest"", ""resolution"": ""QUALIFIED"", ""source"": ""sentinel/operator/browser_cortex_search_entity_development.py:222"", ""target"": ""sentinel.operator.runtime_host.SentinelRuntimeHost""}]",True,host and lifecycle scope,hosts runtimes but should not own canonical cognition,none,none,KEEP,RuntimeHost hosting/lifecycle only,C2 qualified route parity required before deletion,delete only after qualified callers and acceptance probes prove parity,C2 workspace single-spine probes
runtime_host_product_task_loop_method,model_decision_loop,sentinel/operator/runtime_host.py,run_product_action_kernel_task_loop,[],True,ProductTaskResourceScope and child mission orchestration,ProductActionKernel effect dispatch,none,none,MIGRATE_DELETE,RuntimeHost hosting/lifecycle only,C2 qualified route parity required before deletion,delete only after qualified callers and acceptance probes prove parity,C2 workspace single-spine probes
model_led_product_action_kernel_task_loop,model_decision_loop,sentinel/operator/model_led_product_action_kernel_task_loop.py,ModelLedProductActionKernelTaskLoop,"[{""call_kind"": ""constructor_call"", ""caller"": ""sentinel.operator.runtime_host::SentinelRuntimeHost.run_product_action_kernel_task_loop"", ""resolution"": ""QUALIFIED"", ""source"": ""sentinel/operator/runtime_host.py:820"", ""target"": ""sentinel.operator.model_led_product_action_kernel_task_loop.ModelLedProductActionKernelTaskLoop""}]",True,none,none,none,none,MIGRATE_DELETE,RootMissionRuntime cognition loop,C2 qualified route parity required before deletion,delete only after qualified callers and acceptance probes prove parity,C2 workspace single-spine probes
legacy_model_led_task_loop,model_decision_loop,sentinel/operator/model_led_task_loop.py,ModelLedTaskLoop,[],True,none,none,none,none,MIGRATE_DELETE,RootMissionRuntime,C2 qualified route parity required before deletion,delete only after qualified callers and acceptance probes prove parity,C2 workspace single-spine probes
product_model_native_decision_client,decision_protocol_adapter,sentinel/operator/product_model_native_decision_client.py,ProductModelNativeDecisionClient,"[{""call_kind"": ""constructor_call"", ""caller"": ""sentinel.cli::_run_canonical_product_command"", ""resolution"": ""QUALIFIED"", ""source"": ""sentinel/cli.py:549"", ""target"": ""sentinel.operator.product_model_native_decision_client.ProductModelNativeDecisionClient""}]",True,none,none,none,none,MIGRATE_DELETE,canonical model decision client,C2 qualified route parity required before deletion,delete only after qualified callers and acceptance probes prove parity,C2 workspace single-spine probes
canonical_provider_request_builder,model_decision_client,sentinel/cli.py,_canonical_real_model_request,[],True,none,none,none,none,KEEP,canonical provider protocol module,C2 qualified route parity required before deletion,delete only after qualified callers and acceptance probes prove parity,C2 workspace single-spine probes
