component,module_qualname,production_callers,dynamic_factory_callers,entrypoints,state_owned,effects_owned,authority_owned,proof_owned,capability_ids,backend_reality,decision,canonical_owner,migration_gate,deletion_gate
browser_environment_state,sentinel.operator.browser_environment_state::BrowserEnvironmentState,[],[],[],canonical compact BrowserEnvironmentState,none,none; canonical route authority stays in RootMissionRuntime,none,"[""real_browser_control""]",metadata_or_research,KEEP,CanonicalState.browser_environment_state,kept under canonical C4 route or as hidden state contract,delete only after qualified callers and parity prove no useful production route
browser_observation_bundle,sentinel.operator.browser_observation_bundle::BrowserObservationBundle,[],[],[],none or evidence metadata,none,none; canonical route authority stays in RootMissionRuntime,none,"[""real_browser_control""]",metadata_or_research,KEEP,BrowserEnvironmentState sensor input,kept under canonical C4 route or as hidden state contract,delete only after qualified callers and parity prove no useful production route
browser_affordance_contracts,sentinel.operator.browser_affordance_contracts::compile_executable_browser_affordances,"[{""call_kind"": ""constructor_call"", ""caller"": ""sentinel.operator.browser_environment_state::_browser_operational_snapshot"", ""resolution"": ""QUALIFIED"", ""source"": ""sentinel/operator/browser_environment_state.py:407"", ""target"": ""sentinel.operator.browser_affordance_contracts.compile_executable_browser_affordances""}]",[],[],none or evidence metadata,none,none; canonical route authority stays in RootMissionRuntime,none,"[""real_browser_control""]",metadata_or_research,KEEP,ExecutableCapabilityGraph projection,kept under canonical C4 route or as hidden state contract,delete only after qualified callers and parity prove no useful production route
browser_backend_selector,sentinel.operator.browser_backend_selector::select_browser_backend,"[{""call_kind"": ""constructor_call"", ""caller"": ""sentinel.operator.power_skill_registry::build_default_power_skill_registry"", ""resolution"": ""QUALIFIED"", ""source"": ""sentinel/operator/power_skill_registry.py:149"", ""target"": ""sentinel.operator.browser_backend_selector.select_browser_backend""}, {""call_kind"": ""constructor_call"", ""caller"": ""sentinel.operator.real_browser_control_runtime::build_cloak_first_real_browser_engine_from_env"", ""resolution"": ""QUALIFIED"", ""source"": ""sentinel/operator/real_browser_control_runtime.py:2685"", ""target"": ""sentinel.operator.browser_backend_selector.select_browser_backend""}, {""call_kind"": ""constructor_call"", ""caller"": ""sentinel.operator.real_browser_control_runtime::check_cloak_session_readiness"", ""resolution"": ""QUALIFIED"", ""source"": ""sentinel/operator/real_browser_control_runtime.py:2746"", ""target"": ""sentinel.operator.browser_backend_selector.select_browser_backend""}, {""call_kind"": ""constructor_call"", ""caller"": ""sentinel.operator.real_browser_control_runtime::RealBrowserControlRuntime.__init__"", ""resolution"": ""QUALIFIED"", ""source"": ""sentinel/operator/real_browser_control_runtime.py:781"", ""target"": ""sentinel.operator.browser_backend_selector.select_browser_backend""}]",[],[],none or evidence metadata,none,none; canonical route authority stays in RootMissionRuntime,none,"[""real_browser_control""]",physical_backend_selector_not_consumed_by_c4_fake_route,MIGRATE,future physical backend provisioner,connect under ExecutableCapabilityGraph/ProductActionKernel without new loop,delete only after qualified callers and parity prove no useful production route
browser_control_runtime,sentinel.operator.browser_control_runtime::BrowserControlRuntime,[],[],[],legacy or physical browser runtime state,legacy/physical browser effects outside C4 public route,none; canonical route authority stays in RootMissionRuntime,none,"[""real_browser_control""]",metadata_or_research,ARCHIVE_RESEARCH,legacy browser runtime,retain as acceptance probe/research until parity removes public route,delete only after qualified callers and parity prove no useful production route
real_browser_control_runtime,sentinel.operator.real_browser_control_runtime::RealBrowserControlRuntime,"[{""call_kind"": ""constructor_call"", ""caller"": ""sentinel.operator.runtime_host::_execute_real_browser_action"", ""resolution"": ""QUALIFIED"", ""source"": ""sentinel/operator/runtime_host.py:1169"", ""target"": ""sentinel.operator.real_browser_control_runtime.RealBrowserControlRuntime""}]",[],[],legacy or physical browser runtime state,legacy/physical browser effects outside C4 public route,none; canonical route authority stays in RootMissionRuntime,none,"[""real_browser_control""]",physical_browser_backend_not_run_in_c4,MIGRATE,Browser organ backend adapter after physical proof,connect under ExecutableCapabilityGraph/ProductActionKernel without new loop,delete only after qualified callers and parity prove no useful production route
browser_model_native_control_loop,sentinel.operator.browser_model_native_control_loop::map_browser_model_native_intent,"[{""call_kind"": ""constructor_call"", ""caller"": ""sentinel.operator.model_led_task_loop::ModelLedTaskLoop._coerce_model_decision"", ""resolution"": ""QUALIFIED"", ""source"": ""sentinel/operator/model_led_task_loop.py:264"", ""target"": ""sentinel.operator.browser_model_native_control_loop.map_browser_model_native_intent""}, {""call_kind"": ""constructor_call"", ""caller"": ""sentinel.operator.product_model_native_decision_client::_browser_native_mapping"", ""resolution"": ""QUALIFIED"", ""source"": ""sentinel/operator/product_model_native_decision_client.py:546"", ""target"": ""sentinel.operator.browser_model_native_control_loop.map_browser_model_native_intent""}]",[],[],none or evidence metadata,none,none; canonical route authority stays in RootMissionRuntime,none,"[""real_browser_control""]",metadata_or_research,ARCHIVE_RESEARCH,model context mapper research,retain as acceptance probe/research until parity removes public route,delete only after qualified callers and parity prove no useful production route
browser_cortex_deterministic_runner,sentinel.operator.browser_cortex_deterministic_runner::run_browser_cortex_deterministic_corpus,[],[],[],none or evidence metadata,none,none; canonical route authority stays in RootMissionRuntime,none,"[""real_browser_control""]",metadata_or_research,ARCHIVE_RESEARCH,deterministic acceptance probe,retain as acceptance probe/research until parity removes public route,delete only after qualified callers and parity prove no useful production route
browser_cortex_search_entity_development,sentinel.operator.browser_cortex_search_entity_development::run_search_entity_development_corpus,[],[],[],none or evidence metadata,none,none; canonical route authority stays in RootMissionRuntime,none,"[""real_browser_control""]",metadata_or_research,ARCHIVE_RESEARCH,quality corpus tool,retain as acceptance probe/research until parity removes public route,delete only after qualified callers and parity prove no useful production route
browser_product_cutover_registry,sentinel.operator.browser_product_cutover_registry::BrowserProductCutoverRegistry,[],[],[],none or evidence metadata,none,none; canonical route authority stays in RootMissionRuntime,none,"[""real_browser_control""]",metadata_or_research,MIGRATE,ExecutableCapabilityGraph ownership truth,connect under ExecutableCapabilityGraph/ProductActionKernel without new loop,delete only after qualified callers and parity prove no useful production route
browser_progress_guard,sentinel.operator.browser_progress_guard::BrowserProgressGuard,[],[],[],none or evidence metadata,none,none; canonical route authority stays in RootMissionRuntime,none,"[""real_browser_control""]",metadata_or_research,MIGRATE,CanonicalState progress guard,connect under ExecutableCapabilityGraph/ProductActionKernel without new loop,delete only after qualified callers and parity prove no useful production route
